sakamata1,21970.8,98.3906,127863,1
aetrna,19129.2,97.3945,156360,2
WhiteCat,18872.7,98.5592,34045,3
RyuK,18484.6,98.9005,235827,4
Lifeline,18272.1,98.054,178645,5
NyanPotato,18174.6,97.1698,130044,6
M0RGENSHTERN,18154.8,98.1757,216812,7
Arnold24x24,18122.4,98.6608,169933,8
Vaxei,18086.2,99.1421,165435,9
Mathi,18056.2,99.2456,221733,10
Aricin,17539.2,98.9402,172912,11
Utami,17331,98.5269,120716,12
Shimon,17255.6,98.3951,220795,13
Varvalian,16710.8,99.3449,256720,14
Andros,16602.4,98.4553,90630,15
FlyingTuna,16538,98.3729,121746,16
maliszewski,16484.9,99.0367,83871,17
Intercambing,16451.5,98.8753,139201,18
Dereban,16410.6,98.942,215916,19
kieg,16352.7,98.6933,162660,20
Apostol,16331.6,98.6388,194989,21
Bubbleman,16185.1,99.0061,130257,22
Micca,16151.7,98.8579,137239,23
A21,16145.1,98.5401,98541,24
Frankie_,16134,99.578,107713,25
ChocoPafe,16060.3,98.2108,168781,26
idke,16055.1,99.2442,69241,27
Rektygon,16046.2,98.9721,107195,28
InBefore,16040.2,97.8762,164181,28
Paraqeet,15994.2,97.1587,198177,30
Rafis,15989.6,99.0291,324233,31
xootynator,15960.2,99.2284,76630,32
Reedkatt,15952.6,98.8958,117621,33
Karthy,15938,99.191,170856,33
Spare,15935,99.2834,199419,34
[Karcher],15794.3,99.1589,153887,36
Umbre,15777.9,99.5725,285721,37
eternum,15744,99.3832,62384,38
Freddie Benson,15735.5,98.2893,76648,39
badeu,15672.2,97.3893,130128,40
Reused,15589.6,98.5362,110694,41
MightyDoc,15589.3,98.0644,178063,42
Alumetri,15580.9,98.5003,127253,43
im a fancy lad,15558.6,98.3229,99916,44
SrChispa,15515.7,98.3349,106670,45
Aireu,15498.7,99.1544,229413,46
chocomint,15416.2,99.1781,38226,47
suurii nakamura,15404.9,98.1066,70620,48
Milkteaism,15382.7,98.3367,90393,49
angelkanna,15370.4,98.6725,143493,50
Kurumiw,15351.4,98.2149,128472,51
nick1324,15308.6,98.9941,74314,52
Viveliam,15295.4,99.5199,264822,53
ASecretBox,15286.7,98.8693,214065,53
Zoomer,15247.5,98.168,180123,55
obtio,15236.2,98.1243,208023,56
azr8,15211.9,99.1981,96915,57
DanyL,15202,98.7752,154890,58
my angel aosora,15191.4,98.3645,65233,59
ciru,15174.4,98.3684,189217,60
BTMC,15117,98.8184,129050,61
okinamo,15101.2,98.9578,103923,62
Celaphy,15062,98.7871,131043,63
-PloX,15057.1,98.6481,258945,64
dench,14985.1,98.8396,75794,65
Brighter,14975.5,97.6016,48505,66
Gabriel Boric,14940.4,97.8039,60824,67
JappaDeKappa,14910.5,98.138,109063,68
ninerik,14902.9,98.2127,132142,69
Dustice,14899.5,98.9968,109407,70
FGSky,14876,97.0892,273553,71
MINHOCA LOKA,14853.5,97.4796,128314,72
Abyssal,14851.4,99.1453,157813,73
Zeisen-,14846.4,98.3326,127357,74
Andrej,14828.4,98.8222,173370,75
gnahus,14809,98.5206,78718,76
Mastasz,14794.5,99.1241,139130,76
justman,14660.4,99.3125,100640,78
Red_Pixel,14635.7,98.9598,136449,79
fieryrage,14579.7,98.4539,127338,80
Zylice,14554.9,97.0597,78561,81
Milo Milkshake,14512.8,99.001,144370,82
_Shield,14496.7,99.2241,170971,83
Raikouhou,14488.4,99.149,94239,84
kazamabc,14479.4,98.6614,213589,84
Vinno,14474.5,98.6582,126108,85
Tekkito,14452.4,98.8707,90272,87
Ralidea,14441.4,99.4444,140807,88
Vamhi,14425.6,97.2289,160205,89
bloo,14389.6,98.7531,175108,90
Bartek22830,14389.4,98.5002,194651,91
haga1115,14376.3,99.2344,175114,92
Pincus,14358.8,98.07,101488,93
Mlaw,14342.2,99.1181,141766,94
MouseEasy,14310.2,98.5241,181498,95
firebat92,14294.1,98.9115,145496,96
-Din-,14292.4,98.261,152733,97
Neox,14269.1,98.6378,61184,98
MoeYandere,14268.6,98.1969,218218,99
superCreper,14262.7,97.5782,136396,100
uyghti,14261.3,99.0737,221585,101
mcy4,14253.6,98.6829,225205,102
Rampax,14224.1,98.7915,240855,103
rudj,14218.7,98.5188,217129,104
Sawada,14181.2,98.8387,170643,105
Jakson,14168.4,98.8339,82535,106
khz,14164.7,98.355,125441,107
Jeong Woo Yeong,14153.8,98.1249,154603,108
YaMaDarknesss,14143.7,95.639,138535,109
weabole,14132.8,98.2432,135753,110
filsdelama,14132.8,99.2504,162549,111
dejiz,14125.3,98.5577,137118,112
Demonical,14119.6,98.3403,206456,113
Riot,14079.2,98.2205,162001,114
Gasha,14078.9,98.863,196958,115
wuhua,14073.8,98.4553,318853,116
nanoya,14062.7,98.6429,91379,117
Sytho,14057,97.6212,239049,118
RankAjae,14051.6,97.4089,79190,119
Peko_Russian,14047,98.2557,22414,120
Crezz,14040.7,99.016,152067,121
-DuckLeader-,14029.7,99.4087,147772,122
Nameless Player,14023.8,99.3718,21725,123
wudci,14015.1,97.844,110501,124
Pablohh,14011,99.3277,133019,125
Fjell,13984.4,99.1733,139182,125
rairiku,13982.6,98.5908,97649,126
MrNobady,13978.9,99.2518,144907,127
TheKushVanMan,13967.1,96.8706,188282,129
Dragbit 3,13948.4,98.2217,107979,130
Exarch,13934.6,99.0611,141849,131
Rizer,13930.3,99.39,195524,132
cute rtd,13903.8,98.7703,104638,133
NoSin,13897.1,98.319,79314,134
Risiing,13888.8,99.2688,149691,135
KoaLeahq,13861.6,98.8482,131687,136
Saymel,13853.4,98.928,104669,137
Enumi,13835,98.6838,120915,138
Canis x,13822.3,98.0828,306755,139
Rinnu,13820.9,98.7211,102788,140
Teacchyyy,13784.3,98.6283,64496,141
kablaze,13770,99.2497,254483,142
Lam Tin Park,13750.9,97.5127,145036,143
AxewB,13750.6,98.8526,137807,144
jordanlr7,13744.3,98.9677,113873,145
-Machine-,13718.2,98.7322,145610,146
Ayamy,13708.9,97.5487,92012,147
BronyNL 2,13704.4,99.039,219545,148
Ponytail,13680.7,98.1007,99999,149
MyAngelMiku,13648.2,98.8302,148814,150
Avenito,13643.2,98.7669,127693,151
MAREK MARUCHA,13634.8,97.5527,223351,152
Cappy,13625.9,99.4233,157754,153
Shiraha Yuki,13623.2,98.514,113118,154
HaruTachi-,13619.4,98.4132,77146,155
sakuraskip,13615.3,98.8395,25195,156
aba,13611.7,98.7618,76391,157
Dumii,13608.3,98.4914,195619,158
Pinguinzi,13607.9,98.919,170456,159
CXu,13601.7,96.8976,162359,160
Juh,13598.6,98.6257,124913,161
hallowatcher,13596.9,99.5669,151565,162
majoreh,13592.4,98.1373,194173,163
Topoi,13571.5,98.6502,132773,164
heikneuter,13562.5,99.0114,218427,165
[ Zane ],13556.2,99.2214,213697,166
Coreanmaluco,13555.4,98.3655,375620,167
HeadMaster,13547.6,98.9209,119147,168
Ukase,13543.6,98.0476,161581,169
Zaqqy,13542.1,98.3242,116372,170
MrFuture,13516.5,99.0021,148452,171
Meguru Inaba,13516.1,98.4905,196875,172
975250450,13493.5,98.21,35120,173
Eagle5324,13472.5,98.5938,132226,174
theez,13463.1,99.4176,88455,175
T A K A O,13463.1,98.8159,155406,176
spoken_w,13460.9,98.9983,109301,177
Vixylium,13456.2,98.3554,164364,177
Woofel,13443.3,99.4053,79745,179
ruirui,13428.9,98.9321,123258,180
worst hr player,13425.2,98.3122,76827,181
aimbotcone,13408.7,98.8935,107398,182
niii_san,13407.4,98.7062,164011,183
Lane,13405.3,99.1054,131583,184
Monko2k,13400.9,98.5618,118861,185
lPogonyuto,13385.3,98.2466,59290,186
doki,13384.4,95.8741,159475,187
V I C E N T E,13384.2,97.5533,161651,188
Informous,13383.5,97.5867,93063,189
Trail Mix,13381.2,99.1805,151091,190
-Hideki-,13378.6,98.7569,203654,190
Doomsday fanboy,13378.5,98.7717,136298,191
dlwlrma-,13359.3,97.6056,100846,193
afe,13358.1,98.9549,135332,194
BoshyMan741,13353.2,98.7885,146386,195
AlertedDragon,13342.1,97.2167,75448,196
Xilver15,13326.3,99.4783,428052,197
LighScrap,13323.4,97.8633,87110,198
- Frane-,13322.2,98.9254,119908,199
Suyong_,13320.5,97.7402,92800,200
Skydiver,13319.3,98.8385,154907,201
G U R A S I M P,13315.6,97.5594,113145,202
jot_bab,13315.3,98.5088,109550,203
cloud_chaser02,13291,98.9062,130211,204
JazzyS,13289.8,98.4085,171930,205
BaconPug,13285.2,98.8432,109292,206
-pare,13265.6,99.0194,116844,207
Gilraen,13262,98.0485,128456,208
Peresia,13261.9,98.5156,163877,208
MegaMK,13244,98.3451,189902,210
gamer228666,13240.6,99.0278,50744,211
Thundur,13238.7,98.7375,253743,212
Sh4rq_,13226.9,98.8008,58313,213
Shime,13204.3,97.7449,90563,214
xxluizxx47,13203,98.8483,153874,215
-Wolfy-,13202.5,98.5078,139890,216
Kingling,13198.4,99.5667,205641,217
bango,13178.6,97.9834,133147,218
Toy,13177.5,99.4791,270707,219
talala,13170.3,98.5951,242046,220
Failing,13165,99.0741,93439,221
akarinya,13160.5,98.5554,106259,222
Afrodafro,13153.3,98.9206,162317,223
-Hebel-,13150.8,98.4786,157458,224
NathanRammu2044,13133.2,98.7867,110057,225
ur cute,13116.4,98.5457,176947,226
Flaro,13113.2,98.7374,81508,227
DazzLE_Wind,13099.5,99.0802,191697,228
razorfruit,13096.7,97.8151,106256,229
Hyena,13095.6,98.9013,99339,230
Skycries,13086.9,99.1989,141718,231
Too Slow,13083.6,98.9703,171045,232
BronyEE 2,13074.3,98.6183,178329,233
Wakson,13074,99.4899,142910,234
Karuna,13058.2,98.8534,111879,235
boleks,13053.1,99.2044,198546,236
-raizen-,13046.9,98.8755,211883,237
Kageno,13040.8,98.515,148293,238
hvick225,13034.9,98.9759,134343,239
Aoi Kiseki,13025.8,98.6608,76556,240
FD4D,13023.3,98.5808,75410,241
Math God,13022.1,97.861,139780,242
Swiq_,12980.3,98.5848,134605,243
Wuck1,12977.3,98.7305,110518,244
FlasTEH,12969.8,98.5857,101249,245
epic gaming,12956.8,97.5289,67972,246
criller,12954.9,98.7265,89464,247
Sawitar,12954.2,96.842,123293,248
Skyrovania,12923.4,99.0484,114574,249
ThePooN,12899,98.9642,99693,250
Hexikey,12892.7,98.1089,93697,251
Steven Naismith,12883,98.1038,100613,251
takoz53,12866.4,99.1367,56171,252
nobully,12862,98.9281,58234,253
-ZooM-,12859,97.9146,66990,254
kirby mix,12851.4,99.6024,200563,255
rHO,12849.1,98.8832,96003,256
Ephix,12841.9,98.1399,181007,257
Rlsc,12838.3,99.1437,231216,258
gusniki,12837.7,99.0126,59653,260
Shirosora,12830.3,98.2771,73186,261
Stunar,12824.8,97.8189,171510,262
kyhwill,12814.4,98.5848,86630,263
Vivace,12807.9,98.8214,138958,264
R1K50N,12801,98.3145,91472,264
Voss,12797.5,98.6358,183517,265
Aseridan,12793.6,98.1306,156389,266
Gurbzy,12786.9,99.2387,86066,268
Koba,12785.4,99.463,303269,269
KyoouN,12767.9,99.2469,166916,270
Unexpected,12765.5,98.8545,108516,271
Fobxx,12758.7,99.1248,124230,272
Zesdash,12753,96.7062,82176,273
Misumena,12745.3,99.1187,66964,274
Ithi,12744.8,98.0956,119842,274
JackPaX,12742.4,98.3413,97262,275
lightwine,12731.4,98.9671,121008,277
oomfie mcdonald,12677.8,98.9555,132765,278
